Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Target_Next_Close,MA_7,MA_30,Daily_Return,Volatility_7d,Lag_1,Lag_2
2021-01-13,33915.12,37599.96,32584.67,37316.36,37316.36,69364315979,BTC-USD,39187.33,37940.80285714286,29330.104333333333,0.10003254432985798,2513.385824757239,33922.96,35566.66
2021-01-14,37325.11,39966.41,36868.56,39187.33,39187.33,63615990033,BTC-USD,36825.37,37914.55857142858,29989.11266666667,0.05013806276925181,2496.8673746612512,37316.36,33922.96
2021-01-15,39156.71,39577.71,34659.59,36825.37,36825.37,67760757881,BTC-USD,36178.14,37347.095714285715,30506.271666666667,-0.060273562909236245,2161.2622725532506,39187.33,37316.36
2021-01-16,36821.65,37864.37,35633.55,36178.14,36178.14,57706187875,BTC-USD,35791.28,36764.75142857143,30952.037666666667,-0.017575655044335003,1759.0537528875413,36825.37,39187.33
2021-01-17,36163.65,36722.35,34069.32,35791.28,35791.28,52359854336,BTC-USD,36630.07,36398.3,31373.815,-0.010693197604962568,1635.0223342307738,36178.14,36825.37
2021-01-18,35792.24,37299.29,34883.84,36630.07,36630.07,49511702429,BTC-USD,36069.8,36550.21571428572,31799.156333333336,0.02343559660341854,1593.7550917132858,35791.28,36178.14
2021-01-19,36642.23,37755.89,36069.8,36069.8,36069.8,57244195486,BTC-USD,35547.75,36856.90714285714,32218.906666666666,-0.01529535706592966,1148.2044677048027,36630.07,35791.28
2021-01-20,36050.11,36378.33,33570.48,35547.75,35547.75,66834573161,BTC-USD,30825.7,36604.24857142857,32643.729,-0.014473326716533008,1222.4416835911127,36069.8,36630.07
2021-01-21,35549.4,35552.68,30250.75,30825.7,30825.7,75643067688,BTC-USD,33005.76,35409.73,32878.48466666667,-0.13283681808271974,2069.5157896635556,35547.75,36069.8
2021-01-22,30817.63,33811.85,28953.37,33005.76,33005.76,77207272511,BTC-USD,32067.64,34864.07142857143,33203.965000000004,0.07072215716107011,2136.5160829914307,30825.7,35547.75
2021-01-23,32985.76,33360.98,31493.16,32067.64,32067.64,48354737975,BTC-USD,32289.38,34276.857142857145,33481.688,-0.02842291769678995,2275.511445812544,33005.76,30825.7
2021-01-24,32064.38,32944.01,31106.69,32289.38,32289.38,48643830599,BTC-USD,32366.39,33776.58571428571,33735.841,0.00691475892831539,2272.018277786364,32067.64,33005.76
2021-01-25,32285.8,34802.74,32087.79,32366.39,32366.39,59897054838,BTC-USD,32569.85,33167.48857142857,33933.486,0.0023849946948499845,1924.4776956049702,32289.38,32067.64
2021-01-26,32358.61,32794.55,31030.27,32569.85,32569.85,60255421470,BTC-USD,30432.55,32667.495714285713,34143.40466666667,0.006286150540730562,1437.9091671921728,32366.39,32289.38
2021-01-27,32564.03,32564.03,29367.14,30432.55,30432.55,62576762015,BTC-USD,33466.1,31936.75285714286,34254.996,-0.06562204001553584,945.7552864547886,32569.85,32366.39
2021-01-28,30441.04,33858.31,30023.21,33466.1,33466.1,76517157706,BTC-USD,34316.39,32313.952857142856,34458.45133333334,0.09968109803483438,955.2681755352891,30432.55,32569.85
2021-01-29,34318.67,38406.26,32064.81,34316.39,34316.39,117894572511,BTC-USD,34269.52,32501.18571428571,34640.966,0.025407501919853193,1208.372742697916,33466.1,30432.55
2021-01-30,34295.93,34834.71,32940.19,34269.52,34269.52,65141828798,BTC-USD,33114.36,32815.74,34816.55933333333,-0.0013658196564383385,1354.463090477816,34316.39,33466.1
2021-01-31,34270.88,34288.33,32270.18,33114.36,33114.36,52754542671,BTC-USD,33537.18,32933.59428571428,34941.233,-0.03370808812028869,1336.8067179521345,34269.52,34316.39
2021-02-01,33114.58,34638.21,32384.23,33537.18,33537.18,61400400660,BTC-USD,35510.29,33100.85,34988.229999999996,0.012768478690211804,1327.220585911296,33114.36,34269.52
2021-02-02,33533.2,35896.88,33489.22,35510.29,35510.29,63088585433,BTC-USD,37472.09,33520.91285714286,35079.17233333333,0.058833509555663355,1573.6029458932371,33537.18,33114.36
2021-02-03,35510.82,37480.19,35443.98,37472.09,37472.09,61166818159,BTC-USD,36926.07,34526.561428571425,35262.51166666667,0.0552459582842042,1519.4225723547183,35510.29,33537.18
2021-02-04,37475.11,38592.18,36317.5,36926.07,36926.07,68838074392,BTC-USD,38144.31,35020.84285714286,35360.299666666666,-0.014571378324507611,1672.0612901816428,37472.09,35510.29
2021-02-05,36931.55,38225.91,36658.76,38144.31,38144.31,58598066402,BTC-USD,39266.01,35567.68857142857,35404.297999999995,0.03299132564066509,1997.5503859596952,36926.07,37472.09
2021-02-06,38138.39,40846.55,38138.39,39266.01,39266.01,71326033653,BTC-USD,38903.44,36281.47285714286,35400.797,0.029406745068923934,2322.6123571725466,38144.31,36926.07
2021-02-07,39250.19,39621.84,37446.15,38903.44,38903.44,65500641143,BTC-USD,46196.46,37108.48428571429,35337.658,-0.009233685826494753,2017.5745131870772,39266.01,38144.31
2021-02-08,38886.83,46203.93,38076.32,46196.46,46196.46,101467222687,BTC-USD,46481.11,38916.95285714285,35535.72166666667,0.18746465608182716,3448.836029806388,38903.44,39266.01
2021-02-09,46184.99,48003.72,45166.96,46481.11,46481.11,91809846886,BTC-USD,44918.18,40484.212857142855,35806.544,0.00616172754362565,4078.0676361348806,46196.46,38903.44
2021-02-10,46469.76,47145.57,43881.15,44918.18,44918.18,87301089896,BTC-USD,47909.33,41547.939999999995,36118.26133333333,-0.033625057577153394,4132.1984936512445,46481.11,46196.46
2021-02-11,44898.71,48463.47,44187.76,47909.33,47909.33,81388911810,BTC-USD,47504.85,43116.97714285715,36584.473666666665,0.06659107737668801,4169.789041249467,44918.18,46481.11
2021-02-12,47877.04,48745.73,46424.98,47504.85,47504.85,76555041196,BTC-USD,47105.52,44454.19714285714,36924.09,-0.008442614413518235,3793.234158541256,47909.33,44918.18
2021-02-13,47491.2,48047.75,46392.28,47105.52,47105.52,70250456155,BTC-USD,48717.29,45574.12714285714,37188.02966666667,-0.00840608906248519,3100.1149687913567,47504.85,47909.33
2021-02-14,47114.51,49487.64,47114.51,48717.29,48717.29,71248675228,BTC-USD,47945.06,46976.10571428571,37584.427,0.034216159804626,1244.1111488243562,47105.52,47504.85
