Category,Symbol,Name,Price,Change,Change %,Market Cap,Volume,Volume InCurrency (24hr),Total Volume AllCurrencies (24hr),CirculatingSupply,52 WkChange %
Most Active,UUSDT-USD,Tether USDt USD,1.0,-0.0,-0.01,185668000000.0,58329000000.0,58329000000.0,58329000000.0,185632000000.0,-0.07
Most Active,MMPRO31258-USD,Max Property USD,0.01,-0.0,-0.01,0.0,45200000000.0,45200000000.0,45200000000.0,0.0,-99.96
Most Active,BBTC-USD,Bitcoin USD,89458.34,5.8,0.01,1785000000000.0,41591000000.0,41591000000.0,41591000000.0,19958000.0,-10.54
Top Gainers,HHOCAI-USD,Heroes of Crypto AI USD,0.01,0.01,7889.33,0.0,37220.0,37220.0,37220.0,0.0,364.26
Top Gainers,FFELIS-USD,Felis USD,0.0,0.0,2936.48,0.0,117294.0,117294.0,117294.0,0.0,-66.67
Top Gainers,DDOGO29570-USD,DOGO USD,0.0,0.0,2919.59,0.0,83141.0,83141.0,83141.0,0.0,500.0
Top Losers,BBPX10720-USD,Black Phoenix USD,0.02,-2.8,-99.32,0.0,1411000.0,1411000.0,1411000.0,0.0,-97.41
Top Losers,CCAT32486-USD,NOT USD,0.0,-0.17,-98.05,0.0,351128.0,351128.0,351128.0,0.0,180576.77
Top Losers,TTRUMP31874-USD,PEPE USD,0.0,-0.0,-97.39,0.0,324925.0,324925.0,324925.0,0.0,-97.1
