Date,Open,High,Low,Close,Adj Close,Volume,Ticker
"Oct 9, 2025","123,337.07","123,739.34","119,812.03","121,705.59","121,705.59","74,653,009,425",BTC-USD
"Oct 8, 2025","121,448.35","124,167.09","121,119.18","123,354.87","123,354.87","65,354,305,286",BTC-USD
"Oct 7, 2025","124,752.14","125,184.02","120,681.97","121,451.38","121,451.38","76,149,412,513",BTC-USD
"Oct 6, 2025","123,510.45","126,198.07","123,196.05","124,752.53","124,752.53","72,568,881,188",BTC-USD
"Oct 5, 2025","122,419.67","125,559.21","122,191.96","123,513.48","123,513.48","73,689,317,763",BTC-USD
"Oct 4, 2025","122,267.47","122,857.64","121,577.57","122,425.43","122,425.43","36,769,171,735",BTC-USD
"Oct 3, 2025","120,656.98","123,944.70","119,344.31","122,266.53","122,266.53","83,941,392,228",BTC-USD
"Oct 2, 2025","118,652.38","121,086.41","118,383.16","120,681.26","120,681.26","71,415,163,912",BTC-USD
"Oct 1, 2025","114,057.59","118,648.93","113,981.40","118,648.93","118,648.93","71,328,680,132",BTC-USD
"Sep 30, 2025","114,396.52","114,836.62","112,740.56","114,056.09","114,056.09","58,986,330,258",BTC-USD
"Sep 29, 2025","112,117.88","114,473.57","111,589.95","114,400.38","114,400.38","60,000,147,466",BTC-USD
"Sep 28, 2025","109,681.95","112,375.48","109,236.95","112,122.64","112,122.64","33,371,048,505",BTC-USD
"Sep 27, 2025","109,707.14","109,778.50","109,144.30","109,681.95","109,681.95","26,308,042,910",BTC-USD
"Sep 26, 2025","109,041.30","110,359.20","108,728.98","109,712.83","109,712.83","57,738,288,949",BTC-USD
"Sep 25, 2025","113,330.16","113,541.09","108,713.40","109,049.29","109,049.29","75,528,654,284",BTC-USD
"Sep 24, 2025","112,007.66","113,986.27","111,229.64","113,328.63","113,328.63","48,044,595,085",BTC-USD
"Sep 23, 2025","112,757.48","113,351.91","111,535.57","112,014.50","112,014.50","47,211,853,279",BTC-USD
"Sep 22, 2025","115,309.22","115,431.31","112,037.65","112,748.51","112,748.51","70,684,158,591",BTC-USD
"Sep 21, 2025","115,730.23","115,901.09","115,252.58","115,306.09","115,306.09","22,495,852,193",BTC-USD
"Sep 20, 2025","115,691.13","116,191.15","115,473.52","115,721.96","115,721.96","22,864,449,614",BTC-USD
"Sep 19, 2025","117,137.67","117,479.76","115,141.82","115,688.86","115,688.86","38,828,473,971",BTC-USD
"Sep 18, 2025","116,461.27","117,911.79","116,188.80","117,137.20","117,137.20","49,457,272,032",BTC-USD
"Sep 17, 2025","116,840.51","117,328.61","114,794.98","116,468.51","116,468.51","60,528,025,996",BTC-USD
"Sep 16, 2025","115,423.76","117,005.27","114,813.09","116,843.19","116,843.19","45,781,744,593",BTC-USD
"Sep 15, 2025","115,399.63","116,747.88","114,461.06","115,444.88","115,444.88","52,937,859,416",BTC-USD
"Sep 14, 2025","115,950.29","116,181.50","115,222.40","115,407.66","115,407.66","32,798,036,057",BTC-USD
"Sep 13, 2025","116,093.56","116,334.63","115,248.27","115,950.51","115,950.51","34,549,454,947",BTC-USD
"Sep 12, 2025","115,507.79","116,769.38","114,794.48","116,101.58","116,101.58","54,785,725,894",BTC-USD
"Sep 11, 2025","113,961.43","115,522.55","113,453.84","115,507.54","115,507.54","45,685,065,332",BTC-USD
"Sep 10, 2025","111,531.25","114,275.25","110,940.08","113,955.36","113,955.36","56,377,473,784",BTC-USD
"Sep 9, 2025","112,077.58","113,225.44","110,776.70","111,530.55","111,530.55","45,984,480,722",BTC-USD
"Sep 8, 2025","111,163.02","112,869.23","110,630.61","112,071.43","112,071.43","40,212,813,407",BTC-USD
"Sep 7, 2025","110,221.33","111,591.08","110,211.63","111,167.62","111,167.62","24,618,007,520",BTC-USD
"Sep 6, 2025","110,650.57","111,275.02","110,024.09","110,224.70","110,224.70","21,500,719,036",BTC-USD
"Sep 5, 2025","110,723.02","113,357.49","110,233.40","110,650.98","110,650.98","60,241,647,677",BTC-USD
"Sep 4, 2025","111,718.15","112,208.33","109,347.23","110,723.60","110,723.60","60,131,132,901",BTC-USD
"Sep 3, 2025","111,190.70","112,600.23","110,582.96","111,723.21","111,723.21","61,119,643,565",BTC-USD
"Sep 2, 2025","109,243.07","111,748.02","108,454.03","111,200.59","111,200.59","74,776,999,491",BTC-USD
"Sep 1, 2025","108,228.75","109,890.59","107,271.18","109,250.59","109,250.59","66,870,372,995",BTC-USD
"Nov 30, 2025",0.003043,0.003205,0.000031,0.000031,0.000031,"276,673",HYPER36428-USD
"Nov 29, 2025",0.003182,0.003191,0.002837,0.003043,0.003043,"22,405",HYPER36428-USD
"Nov 28, 2025",0.003067,0.003249,0.002900,0.003182,0.003182,"21,474",HYPER36428-USD
"Nov 27, 2025",0.002915,0.003180,0.002905,0.003067,0.003067,"21,181",HYPER36428-USD
"Nov 26, 2025",0.002852,0.003089,0.002814,0.002915,0.002915,"21,721",HYPER36428-USD
"Nov 25, 2025",0.003272,0.003289,0.002227,0.002852,0.002852,"88,151",HYPER36428-USD
"Nov 24, 2025",0.003170,0.004028,0.002968,0.003261,0.003261,"40,664",HYPER36428-USD
"Nov 23, 2025",0.003256,0.003261,0.002971,0.003170,0.003170,"26,471",HYPER36428-USD
"Nov 22, 2025",0.002022,0.003356,0.001961,0.003256,0.003256,"56,043",HYPER36428-USD
"Nov 21, 2025",0.002206,0.002212,0.001806,0.002022,0.002022,"21,010",HYPER36428-USD
"Nov 20, 2025",0.002065,0.002245,0.001905,0.002206,0.002206,"22,425",HYPER36428-USD
"Nov 19, 2025",0.002278,0.002283,0.001882,0.002065,0.002065,"23,575",HYPER36428-USD
"Nov 18, 2025",0.002320,0.002804,0.002269,0.002278,0.002278,"29,733",HYPER36428-USD
"Nov 17, 2025",0.002489,0.002595,0.002190,0.002320,0.002320,"17,680",HYPER36428-USD
"Nov 16, 2025",0.002723,0.002736,0.002441,0.002489,0.002489,"15,911",HYPER36428-USD
"Nov 15, 2025",0.002680,0.002801,0.002650,0.002723,0.002723,"8,037",HYPER36428-USD
"Nov 14, 2025",0.002546,0.002902,0.002503,0.002680,0.002680,"19,386",HYPER36428-USD
"Nov 13, 2025",0.002870,0.002921,0.002472,0.002546,0.002546,"10,030",HYPER36428-USD
"Nov 12, 2025",0.002881,0.003020,0.002842,0.002870,0.002870,"5,382",HYPER36428-USD
"Nov 11, 2025",0.003208,0.003208,0.002849,0.002881,0.002881,"23,149",HYPER36428-USD
