Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2025-09-01,0.031909,0.036273,0.000898,0.000939,0.000939,915563,HOOD37295-USD
2025-09-01,108228.75,109890.59,107271.18,109250.59,109250.59,66870372995,BTC-USD
2025-09-01,0.015567,0.017298,0.013493,0.015759,0.015759,0,HYPER36428-USD
2025-09-02,0.015759,0.016452,0.015556,0.016196,0.016196,125847,HYPER36428-USD
2025-09-02,109243.07,111748.02,108454.03,111200.59,111200.59,74776999491,BTC-USD
2025-09-02,0.000939,0.001073,0.000808,0.000978,0.000978,957321,HOOD37295-USD
2025-09-03,111190.7,112600.23,110582.96,111723.21,111723.21,61119643565,BTC-USD
2025-09-03,0.000978,0.004762,0.000664,0.001012,0.001012,1080635,HOOD37295-USD
2025-09-03,0.016196,0.016196,0.015246,0.015488,0.015488,136790,HYPER36428-USD
2025-09-04,111718.15,112208.33,109347.23,110723.6,110723.6,60131132901,BTC-USD
2025-09-04,0.001012,0.001184,0.000897,0.0011,0.0011,941196,HOOD37295-USD
2025-09-04,0.015488,0.015646,0.014163,0.014753,0.014753,138085,HYPER36428-USD
2025-09-05,110723.02,113357.49,110233.4,110650.98,110650.98,60241647677,BTC-USD
2025-09-05,0.0011,0.005048,0.00092,0.004121,0.004121,1061401,HOOD37295-USD
2025-09-05,0.014753,0.015302,0.014467,0.014574,0.014574,9925,HYPER36428-USD
2025-09-06,0.004121,0.023297,0.004045,0.020724,0.020724,1046876,HOOD37295-USD
2025-09-06,110650.57,111275.02,110024.09,110224.7,110224.7,21500719036,BTC-USD
2025-09-06,0.014574,0.014644,0.013761,0.01386,0.01386,14010,HYPER36428-USD
2025-09-07,0.01386,0.014241,0.013305,0.013491,0.013491,23574,HYPER36428-USD
2025-09-07,110221.33,111591.08,110211.63,111167.62,111167.62,24618007520,BTC-USD
2025-09-07,0.020724,0.023018,0.017679,0.019846,0.019846,968749,HOOD37295-USD
2025-09-08,0.019846,0.020434,0.000694,0.001138,0.001138,839790,HOOD37295-USD
2025-09-08,111163.02,112869.23,110630.61,112071.43,112071.43,40212813407,BTC-USD
2025-09-08,0.013491,0.014629,0.013275,0.014093,0.014093,39090,HYPER36428-USD
2025-09-09,0.001138,0.001148,0.000783,0.000783,0.000783,0,HOOD37295-USD
2025-09-09,112077.58,113225.44,110776.7,111530.55,111530.55,45984480722,BTC-USD
2025-09-09,0.014093,0.014356,0.013655,0.014196,0.014196,23613,HYPER36428-USD
2025-09-10,0.014196,0.018023,0.014082,0.016813,0.016813,117764,HYPER36428-USD
2025-09-10,111531.25,114275.25,110940.08,113955.36,113955.36,56377473784,BTC-USD
2025-09-10,0.000783,0.005543,0.000783,0.002452,0.002452,135356,HOOD37295-USD
2025-09-11,0.016813,0.017111,0.016051,0.016428,0.016428,143695,HYPER36428-USD
2025-09-11,113961.43,115522.55,113453.84,115507.54,115507.54,45685065332,BTC-USD
2025-09-11,0.002452,0.029762,0.002452,0.008997,0.008997,105417,HOOD37295-USD
2025-09-12,0.016428,0.018872,0.016428,0.018573,0.018573,79537,HYPER36428-USD
2025-09-12,115507.79,116769.38,114794.48,116101.58,116101.58,54785725894,BTC-USD
2025-09-12,0.008997,0.008997,0.00086,0.001044,0.001044,130131,HOOD37295-USD
2025-09-13,0.018573,0.018634,0.016806,0.017592,0.017592,35950,HYPER36428-USD
2025-09-13,116093.56,116334.63,115248.27,115950.51,115950.51,34549454947,BTC-USD
2025-09-13,0.001044,0.005883,0.001037,0.005455,0.005455,99159,HOOD37295-USD
2025-09-14,0.005455,0.030789,0.005441,0.029779,0.029779,103924,HOOD37295-USD
2025-09-14,115950.29,116181.5,115222.4,115407.66,115407.66,32798036057,BTC-USD
2025-09-14,0.017652,0.018512,0.016652,0.018201,0.018201,64326,HYPER36428-USD
2025-09-15,115399.63,116747.88,114461.06,115444.88,115444.88,52937859416,BTC-USD
2025-09-15,0.029779,0.166301,0.029246,0.162561,0.162561,105290,HOOD37295-USD
2025-09-15,0.018201,0.018769,0.016613,0.017963,0.017963,88889,HYPER36428-USD
2025-09-16,0.162561,0.167686,0.159616,0.164252,0.164252,108528,HOOD37295-USD
2025-09-16,115423.76,117005.27,114813.09,116843.19,116843.19,45781744593,BTC-USD
2025-09-16,0.017963,0.018094,0.016843,0.017676,0.017676,67560,HYPER36428-USD
2025-09-17,0.017676,0.017676,0.014889,0.016918,0.016918,69331,HYPER36428-USD
2025-09-17,0.164252,0.166205,0.001622,0.001772,0.001772,108046,HOOD37295-USD
2025-09-17,116840.51,117328.61,114794.98,116468.51,116468.51,60528025996,BTC-USD
2025-09-18,0.001772,0.010876,0.001769,0.010526,0.010526,107969,HOOD37295-USD
2025-09-18,0.016918,0.01702,0.015154,0.015154,0.015154,48443,HYPER36428-USD
2025-09-18,116461.27,117911.79,116188.8,117137.2,117137.2,49457272032,BTC-USD
2025-09-19,117137.67,117479.76,115141.82,115688.86,115688.86,38828473971,BTC-USD
2025-09-19,0.010526,0.01058,0.001064,0.001145,0.001145,105555,HOOD37295-USD
2025-09-19,0.015154,0.015313,0.014642,0.014884,0.014884,21189,HYPER36428-USD
2025-09-20,0.001149,0.001351,0.001091,0.001184,0.001184,98828,HOOD37295-USD
2025-09-20,115691.13,116191.15,115473.52,115721.96,115721.96,22864449614,BTC-USD
2025-09-20,0.014884,0.015035,0.013581,0.013816,0.013816,31901,HYPER36428-USD
2025-09-21,0.013816,0.013875,0.012663,0.013399,0.013399,42509,HYPER36428-USD
2025-09-21,115730.23,115901.09,115252.58,115306.09,115306.09,22495852193,BTC-USD
2025-09-21,0.001184,0.010097,0.001102,0.009615,0.009615,106528,HOOD37295-USD
2025-09-22,0.009615,0.009615,0.000767,0.000829,0.000829,120428,HOOD37295-USD
2025-09-22,115309.22,115431.31,112037.65,112748.51,112748.51,70684158591,BTC-USD
2025-09-22,0.013399,0.01341,0.011697,0.011966,0.011966,52023,HYPER36428-USD
2025-09-23,0.000829,0.00085,0.000796,0.000814,0.000814,110630,HOOD37295-USD
2025-09-23,112757.48,113351.91,111535.57,112014.5,112014.5,47211853279,BTC-USD
2025-09-23,0.011966,0.013235,0.011345,0.013147,0.013147,53678,HYPER36428-USD
2025-09-24,112007.66,113986.27,111229.64,113328.63,113328.63,48044595085,BTC-USD
2025-09-24,0.000814,0.007636,0.000801,0.007378,0.007378,103676,HOOD37295-USD
2025-09-24,0.013147,0.013164,0.011694,0.011962,0.011962,27876,HYPER36428-USD
2025-09-25,0.007378,0.00768,0.0008,0.001101,0.001101,143105,HOOD37295-USD
2025-09-25,0.011962,0.012024,0.010504,0.010564,0.010564,22514,HYPER36428-USD
